iid,aircraft,model,flight_date,damage,airline,dep_airport,origin_state,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag,impact
200542,Airplane,DC-9-40,3/13/00 0:00,No damage,ABX AIR,BIRMINGHAM-SHUTTLESWORTH INTL,Alabama,Descent,Small,No Cloud,N,"5,000",No,None
202076,Airplane,DC-9-30,3/14/00 0:00,No damage,AIRTRAN AIRWAYS,ATLANTA INTL,Georgia,Approach,Medium,No Cloud,N,"1,000",No,None
204836,Airplane,B-727-200,3/15/00 0:00,Damage,DELTA AIR LINES,LAGUARDIA NY,New York,Approach,Medium,No Cloud,N,"1,300",No,None
203390,Airplane,DC-10-30,3/15/00 0:00,Damage,HAWAIIAN AIR,TAHITI FAAA,N/A,Landing Roll,Medium,Some Cloud,N,0,Yes,None
203936,Airplane,SAAB-340,3/18/00 0:00,No damage,AMERICAN EAGLE AIRLINES,ORLANDO INTL,Florida,Take-off run,Medium,Some Cloud,Y,0,No,Aborted Take-off
203938,Airplane,B-737,3/22/00 0:00,Damage,US AIRWAYS,MYRTLE BEACH INTL,South Carolina,Landing Roll,Large,Some Cloud,N,0,Yes,None
200130,Airplane,DC-9-10,3/23/00 0:00,Damage,NORTHWEST AIRLINES,MINNEAPOLIS-ST PAUL INTL,Minnesota,Climb,Large,Overcast,Y,800,No,Engine Shut Down
201705,Airplane,SAAB-340,3/23/00 0:00,No damage,AMERICAN EAGLE AIRLINES,LAFAYETTE REGIONAL (LA),Louisiana,Climb,Small,No Cloud,Y,"1,000",No,None
201770,Airplane,EMB-145,3/25/00 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),CLEVELAND-HOPKINS INTL ARPT,Ohio,Approach,Small,No Cloud,N,"1,500",No,None
201506,Airplane,B-737-300,04/01/00 0:00,No damage,US AIRWAYS,WASHINGTON DULLES INTL ARPT,DC,Approach,Small,No Cloud,N,"1,000",Yes,None
201524,Airplane,B-747-1/200,04/02/00 0:00,No damage,NORTHWEST AIRLINES,SAN FRANCISCO INTL ARPT,California,Take-off run,Small,No Cloud,Y,0,No,None
207027,Airplane,SAAB-340,04/04/00 0:00,No damage,MESABA AIRLINES,CENTRAL WISCONSIN ARPT,Wisconsin,Approach,Small,Some Cloud,N,50,No,None
4064,Airplane,B-52H,04/06/00 0:00,No damage,MILITARY,BARKSDALE AIR FORCE BASE ARPT,Louisiana,Approach,Medium,No Cloud,Y,"1,000",No,None
202816,Airplane,DC-9,04/08/00 0:00,Damage,US AIRWAYS,DETROIT METRO WAYNE COUNTY ARPT,Michigan,Climb,Medium,Some Cloud,N,100,No,None
200828,Airplane,DC-9,04/09/00 0:00,No damage,AIRTRAN AIRWAYS,MYRTLE BEACH INTL,South Carolina,Climb,Small,No Cloud,N,100,No,None
203262,Airplane,B-737-500,04/12/00 0:00,No damage,UNITED AIRLINES,SAN FRANCISCO INTL ARPT,California,Approach,Small,Some Cloud,Y,50,Yes,None
200681,Airplane,CL-RJ100/200,4/13/00 0:00,Damage,COMAIR AIRLINES,TOLEDO EXPRESS ARPT,Ohio,Landing Roll,Large,Some Cloud,N,0,No,Other
202210,Airplane,B-737-700,4/16/00 0:00,No damage,ALOHA AIRLINES,METRO OAKLAND INTL,California,Landing Roll,Small,Some Cloud,Y,0,Yes,None
202062,Airplane,B-757-200,4/21/00 0:00,No damage,DELTA AIR LINES,BIRMINGHAM-SHUTTLESWORTH INTL,Alabama,Approach,Small,No Cloud,N,500,Yes,None
200155,Airplane,C-560,4/25/00 0:00,No damage,BUSINESS,BEVERLY MUNICIPAL ARPT,Massachusetts,Take-off run,Large,Some Cloud,N,0,No,Aborted Take-off
202836,Airplane,B-747-400,4/26/00 0:00,Damage,ATLAS AIR,TED STEVENS ANCHORAGE INTL,Alaska,Descent,Large,No Cloud,Y,"3,500",No,None
204057,Airplane,FOKKER F100,4/28/00 0:00,No damage,US AIRWAYS,CHARLOTTE/DOUGLAS INTL ARPT,North Carolina,Approach,Small,Overcast,N,"1,000",No,None
201230,Airplane,B-757-200,4/29/00 0:00,No damage,DELTA AIR LINES,TED STEVENS ANCHORAGE INTL,Alaska,Approach,Small,Overcast,Y,30,Yes,None
205954,Airplane,CL-RJ100/200,4/30/00 0:00,No damage,COMAIR AIRLINES,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,Kentucky,Approach,Small,No Cloud,Y,"2,000",No,None
201585,Airplane,BE-58  BARON,05/03/00 0:00,No damage,PRIVATELY OWNED,GREATER PEORIA REGIONAL ARPT,Illinois,Approach,Small,No Cloud,N,"1,800",No,None
201990,Airplane,DC-9-30,05/03/00 0:00,No damage,US AIRWAYS,INDIANAPOLIS INTL,Indiana,Landing Roll,Small,No Cloud,N,0,No,None
202887,Airplane,B-737-500,05/04/00 0:00,No damage,UNITED AIRLINES,SAN FRANCISCO INTL ARPT,California,Landing Roll,Small,Some Cloud,N,0,Yes,None
200068,Airplane,B-767-300,05/09/00 0:00,No damage,UPS AIRLINES,LOUISVILLE INTL ARPT,Kentucky,Approach,Small,Overcast,Y,75,Yes,None
209758,Airplane,DC-10,05/10/00 0:00,No damage,FEDEX EXPRESS,PORTLAND INTL (OR),Oregon,Landing Roll,Medium,Overcast,Y,0,No,None
200785,Airplane,FOKKER F100,5/13/00 0:00,No damage,AMERICAN AIRLINES,STEWART INTL AIRPORT,New York,Climb,Medium,Some Cloud,N,50,No,None
201283,Airplane,SAAB-340,5/15/00 0:00,Damage,AMERICAN EAGLE AIRLINES,LOS ANGELES INTL,California,Take-off run,Small,Some Cloud,N,0,No,Aborted Take-off
7379,Airplane,B-52H,5/18/00 0:00,No damage,MILITARY,BARKSDALE AIR FORCE BASE ARPT,Louisiana,Approach,Small,No Cloud,Y,"1,200",No,None
200893,Airplane,PA-31 NAVAJO,5/19/00 0:00,No damage,BUSINESS,BURKE LAKEFRONT,Ohio,Landing Roll,Medium,Overcast,Y,0,No,None
203391,Airplane,FOKKER F100,5/23/00 0:00,No damage,AMERICAN AIRLINES,PHILADELPHIA INTL,Pennsylvania,Approach,Medium,Overcast,Y,850,No,None
207700,Airplane,B-737-300,5/28/00 0:00,No damage,UNITED AIRLINES,METRO OAKLAND INTL,California,Climb,Small,Some Cloud,Y,30,Yes,None
201771,Airplane,SAAB-340,5/29/00 0:00,No damage,CHAUTAUQUA AIRLINES,CAPITAL CITY (MI),Michigan,Take-off run,Small,Some Cloud,N,0,No,None
203389,Airplane,B-727,5/29/00 0:00,No damage,DELTA AIR LINES,CAPITAL (BEIJING),N/A,Approach,Small,No Cloud,Y,300,No,None
203333,Airplane,C-172,5/30/00 0:00,Damage,PRIVATELY OWNED,PEASE INTL TRADEPORT,New Hampshire,Climb,Medium,Some Cloud,Y,"1,000",No,Precautionary Landing
202886,Airplane,EMB-145,06/01/00 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),SAVANNAH INTL,Georgia,Take-off run,Small,Overcast,Y,0,No,None
201053,Airplane,A-320,06/03/00 0:00,No damage,AMERICA WEST AIRLINES,PHILADELPHIA INTL,Pennsylvania,Approach,Small,No Cloud,N,500,No,None
203804,Airplane,BA-31 JETSTR,06/06/00 0:00,No damage,ATLANTIC COAST AIRLINES,WASHINGTON DULLES INTL ARPT,DC,Approach,Small,No Cloud,N,150,No,None
202701,Airplane,LEARJET-35,06/06/00 0:00,No damage,BUSINESS,BURKE LAKEFRONT,Ohio,Landing Roll,Medium,Some Cloud,Y,0,No,None
202151,Airplane,DC-9-50,06/07/00 0:00,No damage,HAWAIIAN AIR,HILO INTL ARPT,Hawaii,Landing Roll,Small,Some Cloud,N,0,No,None
205305,Airplane,MD-88,06/08/00 0:00,No damage,DELTA AIR LINES,FORT LAUDERDALE/HOLLYWOOD INTL,Florida,Climb,Small,Some Cloud,Y,10,No,Precautionary Landing
203483,Airplane,B-737,06/09/00 0:00,No damage,SOUTHWEST AIRLINES,DALLAS LOVE FIELD ARPT,Texas,Landing Roll,Small,Overcast,N,0,Yes,None
204287,Airplane,B-737-300,06/11/00 0:00,Damage,US AIRWAYS,LOGAN INTL,Massachusetts,Climb,Large,Overcast,N,800,Yes,Precautionary Landing
200031,Airplane,BE-1900,06/12/00 0:00,No damage,GREAT LAKES AIRLINES,DENVER INTL AIRPORT,Colorado,Approach,Small,No Cloud,N,500,No,None
201214,Airplane,B-757-200,6/14/00 0:00,No damage,DELTA AIR LINES,SAVANNAH INTL,Georgia,Take-off run,Small,No Cloud,N,0,Yes,None
201505,Airplane,CL-RJ100/200,6/15/00 0:00,No damage,COMAIR AIRLINES,KALAMAZOO/BATTLE CREEK INTL,Michigan,Approach,Small,Some Cloud,N,40,No,None
204115,Airplane,IAI-1124,6/16/00 0:00,No damage,UNKNOWN,NORFOLK INTL,Virginia,Take-off run,Medium,Some Cloud,N,0,No,Precautionary Landing
202139,Airplane,DC-9-40,6/20/00 0:00,No damage,NORTHWEST AIRLINES,GERALD R FORD INTL,Michigan,Landing Roll,Small,Overcast,N,0,No,None
203968,Airplane,B-757-200,6/21/00 0:00,No damage,AMERICA WEST AIRLINES,INDIANAPOLIS INTL,Indiana,Landing Roll,Small,Some Cloud,Y,0,Yes,None
202994,Airplane,C-172,6/25/00 0:00,No damage,BUSINESS,FORT SMITH MUNICIPAL ARPT,Arkansas,Approach,Small,No Cloud,N,20,No,None
202602,Airplane,BE-1900,6/25/00 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),CINCINNATI/NORTHERN KENTUCKY INTL ARPT,Kentucky,Landing Roll,Small,Some Cloud,Y,0,No,None
201414,Airplane,B-727,6/26/00 0:00,No damage,ATA AIRLINES,MCCARREN INTL,Nevada,Climb,Medium,Overcast,N,"5,100",No,None
203143,Airplane,BA-31 JETSTR,6/27/00 0:00,Damage,BUSINESS,ATLANTA INTL,Georgia,Landing Roll,Medium,Some Cloud,N,0,No,None
203243,Airplane,LEARJET-31,6/28/00 0:00,Damage,BUSINESS,HESLER-NOBLE FIELD ARPT,Mississippi,Climb,Medium,No Cloud,N,100,No,Precautionary Landing
204609,Airplane,CL-RJ100/200,6/29/00 0:00,No damage,AIR WISCONSIN AIRLINES,CHICAGO O'HARE INTL ARPT,Illinois,Take-off run,Small,No Cloud,Y,0,No,Aborted Take-off
201335,Airplane,C-402,6/30/00 0:00,No damage,CAPE AIR,SOUTHWEST FLORIDA INTL ARPT,Florida,Take-off run,Small,Some Cloud,Y,0,No,Aborted Take-off
202613,Airplane,SHORTS SC7,07/06/00 0:00,No damage,UNKNOWN,PENSACOLA REGIONAL,Florida,Climb,Small,No Cloud,N,20,No,None
200807,Airplane,MD-88,07/07/00 0:00,No damage,DELTA AIR LINES,PHILADELPHIA INTL,Pennsylvania,Approach,Small,No Cloud,Y,100,No,None
202419,Airplane,B-757-200,07/07/00 0:00,No damage,UNITED AIRLINES,BALTIMORE WASH INTL,Maryland,Climb,Small,Some Cloud,Y,100,Yes,None
200696,Airplane,B-737-800,07/10/00 0:00,No damage,CONTINENTAL AIRLINES,SAN FRANCISCO INTL ARPT,California,Climb,Small,No Cloud,Y,10,Yes,None
200108,Airplane,A-319,07/10/00 0:00,No damage,UNITED AIRLINES,WASHINGTON DULLES INTL ARPT,DC,Landing Roll,Medium,No Cloud,Y,0,No,None
203355,Airplane,CITATION II,07/10/00 0:00,No damage,BUSINESS,LAURENCE G HANSCOM,Massachusetts,Landing Roll,Small,Some Cloud,N,0,No,None
202117,Airplane,ATR-72,07/11/00 0:00,No damage,ATLANTIC SOUTHEAST,PANAMA CITY - BAY COUNTY INTL,Florida,Landing Roll,Small,Some Cloud,Y,0,No,None
202204,Airplane,B-737-300,07/12/00 0:00,No damage,SOUTHWEST AIRLINES,BIRMINGHAM-SHUTTLESWORTH INTL,Alabama,Landing Roll,Medium,Some Cloud,Y,0,Yes,None
205917,Airplane,ATR-72,7/15/00 0:00,No damage,ATLANTIC SOUTHEAST,PANAMA CITY - BAY COUNTY INTL,Florida,Landing Roll,Small,No Cloud,Y,0,No,None
204602,Airplane,A-320,7/16/00 0:00,No damage,TRANSMERIDIAN AIRLINES,SUVA FIJI,N/A,Approach,Small,No Cloud,N,100,No,None
