iid,aircraft,model,flight_date,damage,airline,dep_airport,origin_state,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag,impact
207534,Airplane,DHC8 DASH 8,8/22/00 0:00,No damage,HORIZON AIR,LEWISTON-NEZ PERCE CO ARPT,Idaho,Approach,Small,No Cloud,N,5,No,None
201872,Airplane,A-319,8/23/00 0:00,No damage,NORTHWEST AIRLINES,GERALD R FORD INTL,Michigan,Approach,Small,Some Cloud,Y,25,No,None
204521,Airplane,B-747-1/200,8/23/00 0:00,Damage,EVERGREEN INTL AIRLINES,PHILADELPHIA INTL,Pennsylvania,Take-off run,Large,Overcast,Y,0,No,Aborted Take-off
201139,Airplane,BE-90  KING,8/23/00 0:00,No damage,BUSINESS,BLOOMINGTON/NORMAL,Illinois,Take-off run,Small,Some Cloud,N,0,No,Aborted Take-off
200375,Airplane,SAAB-340,8/23/00 0:00,No damage,MESABA AIRLINES,BLOOMINGTON/NORMAL,Illinois,Take-off run,Small,Some Cloud,Y,0,No,Aborted Take-off
205933,Airplane,HAWKER 1000,8/24/00 0:00,No damage,BUSINESS,INDIANAPOLIS REGIONAL ARPT,Indiana,Approach,Small,No Cloud,N,10,No,None
202578,Airplane,B-737-300,8/25/00 0:00,No damage,SOUTHWEST AIRLINES,JACKSON EVERS INTL,Mississippi,Climb,Small,No Cloud,Y,300,Yes,None
203634,Airplane,MD-80,8/25/00 0:00,No damage,CONTINENTAL AIRLINES,NEWARK LIBERTY INTL ARPT,New Jersey,Approach,Small,Some Cloud,Y,15,No,None
201828,Airplane,DC-9-30,8/27/00 0:00,No damage,LEGEND AIRLINES,DALLAS LOVE FIELD ARPT,Texas,Take-off run,Medium,No Cloud,Y,0,No,None
200783,Airplane,CL-RJ100/200,8/28/00 0:00,No damage,COMAIR AIRLINES,SAVANNAH INTL,Georgia,Landing Roll,Small,Some Cloud,Y,0,No,None
202035,Airplane,DHC8 DASH 8,8/30/00 0:00,No damage,HORIZON AIR,VANCOUVER INTL,British Columbia,Approach,Small,Some Cloud,N,50,No,None
200560,Airplane,DC-9,8/30/00 0:00,No damage,US AIRWAYS,LEHIGH VALLEY INTL,Pennsylvania,Landing Roll,Medium,Overcast,N,0,No,None
204413,Airplane,B-727,09/03/00 0:00,No damage,DELTA AIR LINES,SALT LAKE CITY INTL,Utah,Approach,Small,No Cloud,N,"1,000",No,None
202289,Airplane,B-767-200,09/04/00 0:00,No damage,DELTA AIR LINES,LOGAN INTL,Massachusetts,Approach,Small,No Cloud,Y,20,Yes,None
202074,Airplane,B-727,09/04/00 0:00,No damage,DELTA AIR LINES,GREATER ROCHESTER INTL,New York,Landing Roll,Small,Overcast,N,0,No,None
202788,Airplane,BA-146,09/04/00 0:00,No damage,AIR WISCONSIN AIRLINES,QUAD CITY ARPT,Illinois,Take-off run,Small,Overcast,N,0,No,None
